Plot BID,date,count,AWF,AWF_MIN,AWF_MAX,AWF_SD,AWF_CNT,FRAREA,FRAREA_MIN,FRAREA_MAX,FRAREA_SD,FRAREA_CNT,FRPER,FRPER_MIN,FRPER_MAX,FRPER_SD,FRPER_CNT,FRWMH,FRWMH_MIN,FRWMH_MAX,FRWMH_SD,FRWMH_CNT,FRMAXW,FRMAXW_MIN,FRMAXW_MAX,FRMAXW_SD,FRMAXW_CNT,FWSD,FWSD_MIN,FWSD_MAX,FWSD_SD,FWSD_CNT,FRMHMW,FRMHMW_MIN,FRMHMW_MAX,FRMHMW_SD,FRMHMW_CNT,FRMH,FRMH_MIN,FRMH_MAX,FRMH_SD,FRMH_CNT,FHSD,FHSD_MIN,FHSD_MAX,FHSD_SD,FHSD_CNT,FRSPH,FRSPH_MIN,FRSPH_MAX,FRSPH_SD,FRSPH_CNT,FRSIEMAX,FRSIEMAX_MIN,FRSIEMAX_MAX,FRSIEMAX_SD,FRSIEMAX_CNT,FRSIEMID,FRSIEMID_MIN,FRSIEMID_MAX,FRSIEMID_SD,FRSIEMID_CNT,FRCSI,FRCSI_MIN,FRCSI_MAX,FRCSI_SD,FRCSI_CNT,FRPB,FRPB_MIN,FRPB_MAX,FRPB_SD,FRPB_CNT,FRDB,FRDB_MIN,FRDB_MAX,FRDB_SD,FRDB_CNT,FRSTRI,FRSTRI_MIN,FRSTRI_MAX,FRSTRI_SD,FRSTRI_CNT,FRELIP,FRELIP_MIN,FRELIP_MAX,FRELIP_SD,FRELIP_CNT,FRRECT,FRRECT_MIN,FRRECT_MAX,FRRECT_SD,FRRECT_CNT,FWID01,FWID01_MIN,FWID01_MAX,FWID01_SD,FWID01_CNT,FWID02,FWID02_MIN,FWID02_MAX,FWID02_SD,FWID02_CNT,FWID03,FWID03_MIN,FWID03_MAX,FWID03_SD,FWID03_CNT,FWID04,FWID04_MIN,FWID04_MAX,FWID04_SD,FWID04_CNT,FWID05,FWID05_MIN,FWID05_MAX,FWID05_SD,FWID05_CNT,FWID06,FWID06_MIN,FWID06_MAX,FWID06_SD,FWID06_CNT,FWID07,FWID07_MIN,FWID07_MAX,FWID07_SD,FWID07_CNT,FWID08,FWID08_MIN,FWID08_MAX,FWID08_SD,FWID08_CNT,FWID09,FWID09_MIN,FWID09_MAX,FWID09_SD,FWID09_CNT,FHT01,FHT01_MIN,FHT01_MAX,FHT01_SD,FHT01_CNT,FHT02,FHT02_MIN,FHT02_MAX,FHT02_SD,FHT02_CNT,FHT03,FHT03_MIN,FHT03_MAX,FHT03_SD,FHT03_CNT,FHT04,FHT04_MIN,FHT04_MAX,FHT04_SD,FHT04_CNT,FHT05,FHT05_MIN,FHT05_MAX,FHT05_SD,FHT05_CNT,FHT06,FHT06_MIN,FHT06_MAX,FHT06_SD,FHT06_CNT,FHT07,FHT07_MIN,FHT07_MAX,FHT07_SD,FHT07_CNT,FHT08,FHT08_MIN,FHT08_MAX,FHT08_SD,FHT08_CNT,FHT09,FHT09_MIN,FHT09_MAX,FHT09_SD,FHT09_CNT,FEXTL,FEXTL_MIN,FEXTL_MAX,FEXTL_SD,FEXTL_CNT,FEXTA,FEXTA_MIN,FEXTA_MAX,FEXTA_SD,FEXTA_CNT,FEXTB,FEXTB_MIN,FEXTB_MAX,FEXTB_SD,FEXTB_CNT,SFEXTL_SD_AVG,SFEXTL_SD_SD,SFEXTA_SD_AVG,SFEXTA_SD_SD,SFEXTB_SD_AVG,SFEXTB_SD_SD,FEXTHUE,FEXTHUE_MIN,FEXTHUE_MAX,FEXTHUE_SD,FEXTHUE_CNT,SFEXTHUE_SD_AVG,SFEXTHUE_SD_SD,FEXTCHR,FEXTCHR_MIN,FEXTCHR_MAX,FEXTCHR_SD,FEXTCHR_CNT,SFEXTCHR_SD_AVG,SFEXTCHR_SD_SD,GRWT
SHIFTP00000000879561949834739,230321,1,0.725,0.5965,0.8535,0.1817,2,94.0657,77.3997,110.7317,23.5693,2,47.5538,46.4193,48.6883,1.6045,2,10.4817,10.1562,10.8073,0.4604,2,10.5468,10.2213,10.8724,0.4604,2,1.1061,0.9272,1.285,0.253,2,9.7316,9.4712,9.992,0.3682,2,11.0172,9.8618,12.1726,1.634,2,1.0612,1.0202,1.1021,0.0579,2,11.8533,10.5714,13.1352,1.8128,2,1.0422,0.9648,1.1196,0.1094,2,0.9286,0.9246,0.9326,0.0057,2,1.1281,1.0409,1.2154,0.1234,2,0.9203,0.9038,0.9367,0.0233,2,0.849,0.8365,0.8614,0.0176,2,1.0839,1.0805,1.0874,0.0049,2,0.8571,0.8335,0.8807,0.0334,2,0.7613,0.7403,0.7823,0.0296,2,6.8522,5.8268,7.8776,1.4501,2,8.903,8.4961,9.3099,0.5754,2,9.9121,9.4075,10.4166,0.7135,2,10.3841,9.9609,10.8073,0.5985,2,10.4817,10.1562,10.8073,0.4604,2,10.3678,10.0911,10.6445,0.3913,2,10.0423,9.7005,10.3841,0.4834,2,9.6517,9.1797,10.1237,0.6675,2,8.7565,8.3659,9.1471,0.5524,2,8.0229,6.9651,9.0806,1.4959,2,9.6828,8.1368,11.2287,2.1864,2,9.5688,7.6486,11.4891,2.7157,2,9.2108,7.7788,10.6429,2.0253,2,9.7316,9.4712,9.992,0.3682,2,10.8382,9.7967,11.8797,1.4729,2,10.5453,9.6665,11.424,1.2428,2,9.9757,9.1132,10.8382,1.2198,2,7.8927,7.3556,8.4297,0.7595,2,0.2579,0.2418,0.274,0.0228,2,0.4463,0.4453,0.4474,0.0015,2,0.5657,0.5591,0.5724,0.0094,2,0.0547,0.0003,0.0192,0.0098,0.0221,0.0002,0.2683,0.2476,0.2891,0.0293,2,0.0524,0.0078,0.5099,0.5056,0.5142,0.006,2,0.0087,0.0017,1.45
SHIFTP00000000879561949834740,230321,1,0.2267,0.1463,0.313,0.062,9,97.652,63.0316,134.8564,26.7197,9,41.4558,31.8802,49.3114,5.568,9,10.1164,7.5521,12.7929,1.8048,9,10.5179,7.9101,12.8906,1.6358,9,1.3339,0.7046,2.0133,0.3782,9,10.6357,7.7462,15.0042,2.2537,9,11.3264,9.1783,15.1344,1.8305,9,1.3963,0.8034,1.9069,0.3823,9,13.3626,10.0385,18.3786,2.7352,9,1.0841,0.8893,1.3715,0.134,9,1.0562,0.8879,1.4096,0.1597,9,1.3253,1.101,1.7266,0.1757,9,0.954,0.8015,1.0766,0.0916,9,0.8283,0.7338,0.9141,0.0577,9,1.1587,0.9389,1.3761,0.1562,9,0.8937,0.8505,0.9357,0.0322,9,0.788,0.7452,0.8489,0.0361,9,6.5393,5.2083,9.8958,1.4585,9,8.4056,6.3476,11.4257,1.7875,9,9.2954,6.8034,12.0768,2.0406,9,9.8524,7.2265,12.7604,2.035,9,10.1164,7.5521,12.7929,1.8048,9,10.2105,7.8125,12.5651,1.5922,9,10.1273,7.8776,12.5325,1.4364,9,9.5305,7.845,11.7513,1.1052,9,7.8993,6.5104,9.082,0.9339,9,7.6449,5.2726,9.4061,1.2368,9,9.7388,8.6901,12.3353,1.1628,9,10.6791,9.0481,13.9627,1.4098,9,10.7441,8.2995,15.0367,2.0791,9,10.6357,7.7462,15.0042,2.2537,9,10.8997,8.6901,14.8415,1.8352,9,10.708,9.1457,14.6787,1.7258,9,9.7207,8.625,13.4745,1.5816,9,7.4352,5.8259,11.7169,1.7637,9,0.2892,0.2622,0.3231,0.0223,9,0.4383,0.4283,0.4482,0.0065,9,0.572,0.5573,0.5869,0.0091,9,0.0646,0.0086,0.0136,0.0015,0.0231,0.0039,0.2768,0.2658,0.2851,0.007,9,0.0426,0.0036,0.5099,0.5054,0.5142,0.0028,9,0.0077,0.0018,2.04
SHIFTP00000000879561953097220,230321,1,0.22,0.1682,0.2589,0.0326,5,90.6583,69.3323,106.6887,13.4328,5,39.7049,35.0314,41.5895,2.7213,5,10.332,9.1797,11.8489,1.2573,5,10.4492,9.2448,11.8815,1.29,5,1.453,0.8186,2.6066,0.693,5,10.4736,8.3321,13.3768,1.9753,5,10.7926,8.7552,13.4745,1.7968,5,1.3633,0.5259,2.278,0.6799,5,13.2117,10.2697,16.6645,2.4568,5,1.0504,0.7369,1.3844,0.2413,5,1.0296,0.7032,1.3744,0.2466,5,1.2988,0.8667,1.7122,0.3051,5,0.9061,0.8672,0.9341,0.0334,5,0.8177,0.6215,0.9757,0.1351,5,1.1299,0.9466,1.3955,0.1672,5,0.9013,0.8802,0.9242,0.017,5,0.77,0.6846,0.8305,0.0605,5,6.3216,4.2318,8.8541,1.9903,5,8.4049,6.9661,10.5794,1.4959,5,9.2578,8.138,11.3281,1.2895,5,9.9804,8.8216,11.7838,1.1524,5,10.332,9.1797,11.8489,1.2573,5,10.358,9.1146,11.8164,1.3428,5,9.9869,7.845,11.6211,1.5943,5,9.3619,8.0078,11.0677,1.1953,5,7.0377,4.9805,9.5052,1.6333,5,6.7177,4.524,8.267,1.6177,5,8.4297,6.3467,10.2523,1.7038,5,9.367,7.974,11.2287,1.5027,5,9.8878,8.1693,12.3028,1.7629,5,10.4736,8.3321,13.3768,1.9753,5,10.6103,8.4948,13.0514,1.7159,5,10.2719,8.7226,12.5632,1.4845,5,9.4712,8.267,11.6844,1.4035,5,7.4012,4.9797,10.2849,2.2937,5,0.3085,0.2631,0.3403,0.0283,5,0.4342,0.4213,0.4633,0.0168,5,0.585,0.5551,0.6031,0.0185,5,0.0689,0.0027,0.0157,0.0012,0.0269,0.0027,0.2614,0.24,0.2748,0.0131,5,0.0455,0.0115,0.5158,0.5116,0.5206,0.0038,5,0.0096,0.0011,1.1
SHIFTP00000000879561953097221,230321,1,0.222,0.1684,0.2617,0.0403,5,92.357,70.0777,108.8559,16.7731,5,40.8109,36.8134,46.1606,3.9602,5,10.5468,8.0729,11.9466,1.4663,5,10.9049,8.6263,12.2721,1.3573,5,1.4948,1.0716,2.0651,0.4924,5,9.1262,8.7552,10.1547,0.5834,5,10.3695,9.3736,11.3915,0.7847,5,1.1649,1.0037,1.4976,0.2004,5,11.455,10.9127,12.4537,0.6467,5,0.9613,0.8469,1.1432,0.123,5,0.8788,0.7356,1.0845,0.1306,5,1.1027,0.9378,1.3518,0.1572,5,0.9785,0.8834,1.0444,0.0632,5,0.7904,0.6789,0.9009,0.0821,5,1.2517,0.9806,1.4505,0.1752,5,0.8778,0.8485,0.9249,0.0303,5,0.7838,0.7416,0.8319,0.0341,5,6.2044,4.3945,8.6588,1.6903,5,8.3528,6.25,10.0586,1.5628,5,9.2968,6.8359,10.9375,1.7711,5,10.0846,7.5521,11.4257,1.5698,5,10.5468,8.0729,11.9466,1.4663,5,10.7487,8.431,12.207,1.3955,5,10.7356,8.5937,12.0768,1.3011,5,10.2734,8.431,11.4257,1.1968,5,8.9062,7.845,9.9935,1.0019,5,7.4207,5.7934,8.9504,1.3654,5,9.328,8.0066,10.7731,1.1455,5,9.8162,8.625,11.3915,1.2166,5,9.9269,9.0155,11.1636,0.9312,5,9.1262,8.7552,10.1547,0.5834,5,9.7511,8.1042,11.0986,1.1292,5,9.9073,8.1042,11.1311,1.122,5,8.8268,6.0863,10.3174,1.6193,5,6.8739,4.7193,8.5599,1.4178,5,0.2783,0.2502,0.3028,0.0249,5,0.4404,0.433,0.4445,0.0046,5,0.5684,0.5583,0.5792,0.0096,5,0.0642,0.0064,0.013,0.0011,0.0215,0.0034,0.2795,0.2628,0.2923,0.0108,5,0.0415,0.0038,0.5087,0.5048,0.5142,0.0038,5,0.0069,0.0015,1.11
SHIFTP00000000879561953097222,230321,1,0.276,0.2429,0.3111,0.0299,5,101.6781,89.4893,114.603,11.0181,5,40.7066,39.2099,42.5139,1.3325,5,10.7031,9.9609,11.5559,0.6987,5,10.8789,10.2213,11.5559,0.5502,5,1.1994,0.6863,1.5169,0.345,5,10.5322,8.2019,11.9448,1.4967,5,11.2483,9.8943,12.1401,1.0742,5,1.1002,0.8545,1.2855,0.1685,5,12.772,10.5261,14.445,1.4527,5,1.0376,0.8562,1.1877,0.1275,5,0.9907,0.7098,1.1761,0.1738,5,1.202,0.9109,1.4223,0.1919,5,0.9349,0.9043,1.0359,0.0567,5,0.8334,0.7516,0.9263,0.069,5,1.131,0.9896,1.3783,0.1518,5,0.899,0.8603,0.9324,0.0288,5,0.808,0.7641,0.8559,0.0399,5,7.1093,5.6966,8.2031,0.9335,5,8.9127,7.487,9.4726,0.8162,5,9.8763,8.5612,10.5468,0.8042,5,10.4752,9.3424,11.3606,0.8259,5,10.7031,9.9609,11.5559,0.6987,5,10.651,9.8632,11.4257,0.6144,5,10.5013,9.6028,11.1653,0.5826,5,9.9869,9.3099,10.5143,0.5291,5,8.6458,7.9752,9.1471,0.5104,5,8.3321,7.2905,9.8618,1.3104,5,10.2003,9.1783,11.6844,1.0791,5,10.8968,9.4061,12.1075,1.2041,5,10.7861,9.1132,11.8797,1.3077,5,10.5322,8.2019,11.9448,1.4967,5,10.6754,8.2995,12.075,1.4801,5,10.389,8.5599,11.6519,1.1922,5,9.8422,7.9089,11.2613,1.3328,5,8.1107,6.0538,9.8292,1.6389,5,0.3169,0.286,0.3381,0.0219,5,0.4348,0.4257,0.4447,0.0079,5,0.582,0.5695,0.5925,0.011,5,0.064,0.0117,0.0129,0.0007,0.022,0.0027,0.2648,0.2563,0.2745,0.0067,5,0.0385,0.0049,0.514,0.5097,0.5171,0.0033,5,0.0074,0.0014,1.38
SHIFTP00000000879561953097223,230321,1,0.3067,0.2918,0.3154,0.0129,3,110.7889,105.4301,113.9308,4.6638,3,44.9389,43.9844,45.5676,0.8404,3,11.4583,10.2213,12.4674,1.1402,3,11.5342,10.2864,12.5325,1.1437,3,2.2366,1.848,2.6432,0.3979,3,10.7297,10.0245,11.2938,0.6463,3,11.999,11.3264,12.7585,0.72,3,1.3841,1.1422,1.8585,0.4109,3,13.731,12.1611,14.6762,1.369,3,1.0517,0.9038,1.2403,0.1719,3,0.9389,0.9059,0.9807,0.0382,3,1.1985,1.1772,1.2284,0.0267,3,0.8583,0.7285,0.9299,0.1126,3,0.8049,0.7676,0.8726,0.0588,3,1.066,0.949,1.1835,0.1172,3,0.8986,0.8659,0.9166,0.0284,3,0.7629,0.7161,0.793,0.0411,3,5.6857,4.3294,7.3893,1.5592,3,9.1797,8.9192,9.5703,0.3445,3,10.3841,9.7656,11.0026,0.6185,3,11.1328,10.1562,11.914,0.895,3,11.4583,10.2213,12.4674,1.1402,3,11.263,9.733,12.3697,1.3683,3,10.6879,9.5052,11.4583,1.0398,3,9.7656,9.082,10.7096,0.8445,3,6.0981,4.1015,8.9843,2.5601,3,7.7896,5.7608,8.8854,1.7588,3,10.0353,9.1132,10.5127,0.7988,3,11.0118,10.7405,11.5542,0.4698,3,11.2613,10.8056,11.7169,0.4557,3,10.7297,10.0245,11.2938,0.6463,3,11.2287,10.5778,12.1726,0.8368,3,11.4457,10.5778,12.6934,1.1077,3,10.6212,9.9594,11.9448,1.1463,3,8.5707,7.0627,10.7405,1.9262,3,0.3279,0.2909,0.3619,0.0356,3,0.4449,0.4267,0.4785,0.0291,3,0.5809,0.5643,0.5932,0.0149,3,0.0643,0.0063,0.0246,0.0189,0.0241,0.0017,0.2449,0.2023,0.2691,0.037,3,0.0606,0.0444,0.5182,0.5136,0.524,0.0053,3,0.0134,0.0095,0.92
SHIFTP00000000879561953097224,230321,1,0.2075,0.1329,0.2655,0.047,8,86.9043,55.662,111.2032,19.6637,8,40.6347,32.1245,44.961,4.4909,8,9.7371,6.3476,11.5559,1.5842,8,10.0748,6.901,11.8489,1.5585,8,1.1736,0.7272,1.5395,0.3052,8,9.6583,7.7787,10.8707,0.9888,8,10.5168,8.9179,11.8146,0.9239,8,1.1885,0.8903,1.7452,0.2756,8,11.9927,9.7062,13.8546,1.4286,8,1.0631,0.8837,1.4196,0.1672,8,1.0151,0.8753,1.5126,0.2043,8,1.2632,0.9873,1.94,0.284,8,0.9603,0.8592,1.0089,0.0486,8,0.8321,0.7682,0.959,0.0675,8,1.158,1.0267,1.25,0.0736,8,0.8837,0.8222,0.917,0.0324,8,0.7918,0.7124,0.8221,0.0364,8,6.4127,4.7851,7.4218,0.8303,8,8.0281,6.0872,9.2122,0.9941,8,8.9681,6.5104,10.1237,1.1725,8,9.4563,6.1523,10.9375,1.495,8,9.7371,6.3476,11.5559,1.5842,8,9.9528,6.7708,11.7513,1.5385,8,9.8958,6.7708,11.5234,1.4793,8,9.3261,6.25,11.0677,1.4433,8,7.666,4.72,9.6028,1.4931,8,7.5916,5.533,9.4712,1.1495,8,9.4468,7.2905,10.9033,1.1835,8,10.1221,8.2995,11.8146,1.1859,8,9.9879,7.4533,11.1962,1.2692,8,9.6583,7.7787,10.8707,0.9888,8,9.8374,7.5184,11.2287,1.3707,8,9.8333,7.1929,11.2938,1.3789,8,9.105,6.9976,10.9033,1.1446,8,7.1888,5.7283,8.2344,0.9243,8,0.3144,0.2746,0.3661,0.0309,8,0.4323,0.4187,0.4392,0.0068,8,0.5871,0.5725,0.6076,0.0104,8,0.0702,0.0117,0.0154,0.0011,0.0267,0.002,0.2635,0.2588,0.2774,0.0059,8,0.0418,0.0062,0.516,0.5106,0.5221,0.0033,8,0.0092,0.001,1.66
SHIFTP00000000879561953097225,230321,1,0.2463,0.1805,0.3001,0.0444,8,97.2587,71.3019,118.5267,17.5186,8,41.2359,34.771,48.2879,4.3571,8,10.7788,9.8958,11.1653,0.4221,8,11.0392,9.9935,11.4583,0.4996,8,1.3288,0.8297,2.2941,0.4618,8,9.756,7.7137,11.7495,1.4734,8,10.533,8.2019,12.2052,1.7605,8,1.1263,0.6007,1.6172,0.3144,8,12.3641,9.8533,15.3379,1.9751,8,0.9526,0.7635,1.123,0.1435,8,0.904,0.7203,1.0742,0.1226,8,1.1447,0.92,1.3737,0.1584,8,0.9553,0.8936,1.0772,0.0586,8,0.8248,0.5773,0.9971,0.1191,8,1.1868,0.9298,1.6818,0.2363,8,0.8885,0.8557,0.9332,0.026,8,0.8011,0.76,0.8441,0.0255,8,7.0882,4.362,9.733,1.6281,8,8.8867,6.4453,11.1328,1.347,8,10.0016,9.1471,11.2955,0.7441,8,10.5346,9.6679,11.263,0.4847,8,10.7788,9.8958,11.1653,0.4221,8,10.9212,9.9609,11.3932,0.4672,8,10.8398,9.8632,11.3932,0.5549,8,10.2946,9.3099,11.3606,0.7101,8,8.789,7.3567,10.1562,1.0379,8,7.673,5.533,10.5778,1.6555,8,9.101,6.6071,11.7495,1.6822,8,9.7031,7.4858,12.075,1.5724,8,9.699,7.7137,11.1962,1.4026,8,9.756,7.7137,11.7495,1.4734,8,10.1262,7.7137,12.1726,1.8761,8,10.1994,8.1368,12.1075,1.7195,8,9.5729,7.974,11.8146,1.6182,8,7.5835,5.9887,10.1221,1.5404,8,0.3242,0.2869,0.3707,0.0278,8,0.4329,0.4206,0.4795,0.0192,8,0.5921,0.575,0.6061,0.0106,8,0.0693,0.0084,0.0167,0.0058,0.0261,0.0029,0.2542,0.1878,0.2712,0.0272,8,0.0434,0.0147,0.5192,0.5116,0.5296,0.0053,8,0.011,0.005,1.97
SHIFTP00000000879561953097226,230321,1,0.2575,0.2226,0.2837,0.0259,4,105.0144,90.7728,115.6958,10.5501,4,42.1766,39.2113,44.6939,2.6355,4,9.8144,9.3424,10.7096,0.6116,4,10.3841,9.8958,10.8073,0.374,4,1.3899,1.0851,2.046,0.4424,4,12.2458,11.5868,12.9212,0.5551,4,12.433,11.6519,13.2141,0.6723,4,1.5881,1.1818,2.1179,0.3937,4,15.0794,14.5348,15.9331,0.6069,4,1.1973,1.1686,1.2686,0.0477,4,1.2513,1.1548,1.3831,0.0966,4,1.5414,1.4054,1.7055,0.1236,4,1.0151,0.9088,1.0976,0.0785,4,0.7853,0.5904,0.8936,0.1337,4,1.3297,1.017,1.7283,0.2979,4,0.8953,0.8623,0.9279,0.0286,4,0.7929,0.7568,0.8318,0.0329,4,6.1442,3.6133,8.2356,1.9045,4,7.7392,5.6315,9.5703,1.6266,4,8.9274,8.0729,10.2864,0.9702,4,9.4726,8.9192,10.5794,0.755,4,9.8144,9.3424,10.7096,0.6116,4,10.1237,9.7656,10.677,0.3897,4,10.3027,9.8307,10.5794,0.3261,4,9.9283,9.733,10.2539,0.2493,4,8.3333,7.5521,9.1797,0.6661,4,8.8772,7.8113,9.7641,0.8049,4,10.9684,9.5037,11.9773,1.0466,4,11.8471,10.5778,12.5957,0.8834,4,12.3109,11.4891,13.149,0.728,4,12.2458,11.5868,12.9212,0.5551,4,11.8309,11.4891,12.1726,0.315,4,11.2125,9.9594,11.9122,0.8691,4,10.0896,8.1368,11.424,1.3994,4,7.6648,5.9561,9.699,1.5601,4,0.3175,0.2953,0.3549,0.0259,4,0.4322,0.4243,0.4391,0.0061,4,0.5839,0.5715,0.5983,0.0111,4,0.0727,0.0101,0.0144,0.0014,0.0241,0.0031,0.2683,0.2614,0.2734,0.0059,4,0.04,0.0029,0.514,0.5099,0.519,0.0039,4,0.0081,0.0013,1.03
SHIFTP00000000879561953097227,230321,1,0.2325,0.1824,0.2685,0.0412,4,88.5113,69.4367,102.2104,15.6815,4,39.0033,35.3944,42.3391,2.8715,4,9.8714,8.6263,10.8398,0.9254,4,10.1725,8.7565,11.2955,1.1056,4,1.1639,0.7277,1.4206,0.3299,4,9.4142,8.6901,9.9269,0.5897,4,10.1628,9.341,10.8382,0.7008,4,0.8612,0.6473,1.2629,0.2737,4,11.4949,10.9076,11.9758,0.4455,4,1.0028,0.9422,1.0668,0.0513,4,0.958,0.8811,1.064,0.0798,4,1.172,1.1048,1.3482,0.118,4,1.0056,0.9703,1.0545,0.0408,4,0.8422,0.7688,0.9038,0.0579,4,1.1979,1.1217,1.332,0.0921,4,0.8865,0.8627,0.902,0.0172,4,0.8275,0.8084,0.8647,0.0253,4,6.3965,4.0364,8.3659,1.7961,4,8.2926,7.487,9.1797,0.6958,4,9.1227,8.3984,9.6354,0.5278,4,9.6517,8.6914,10.2213,0.6705,4,9.8714,8.6263,10.8398,0.9254,4,10.0341,8.6263,11.2304,1.1129,4,10.1155,8.7239,11.2955,1.1393,4,9.9446,8.3984,11.1002,1.2181,4,8.9599,7.4544,10.026,1.1424,4,7.6648,7.1278,8.7552,0.7391,4,9.1213,7.974,10.2198,1.047,4,9.5607,8.0717,10.7731,1.2974,4,9.7478,8.6575,10.6754,1.0461,4,9.4142,8.6901,9.9269,0.5897,4,9.9269,9.341,10.5778,0.5174,4,9.878,8.983,10.6754,0.7333,4,9.2759,8.267,10.4802,0.9414,4,7.7625,6.9651,9.4387,1.1379,4,0.3245,0.3012,0.3357,0.0157,4,0.4312,0.4277,0.4346,0.0029,4,0.5831,0.5775,0.5893,0.0053,4,0.0637,0.0059,0.0134,0.0012,0.0226,0.0031,0.2701,0.2668,0.274,0.003,4,0.0369,0.0042,0.5131,0.5113,0.5153,0.0019,4,0.0078,0.0012,0.93
SHIFTP00000000879561953097228,230321,1,0.1878,0.1491,0.2478,0.0347,9,78.2627,62.1549,103.272,14.447,9,37.7597,33.1989,43.5262,3.5421,9,9.0892,8.1054,11.4257,1.1209,9,9.563,8.3659,11.9791,1.0986,9,1.347,0.7859,2.0066,0.45,9,9.4387,8.6575,10.708,0.7418,9,10.18,8.9179,11.4891,0.9648,9,1.3199,0.8124,2.1075,0.4626,9,11.8796,10.6939,13.4013,0.9274,9,1.0689,0.9102,1.155,0.0817,9,1.0468,0.9309,1.2689,0.1063,9,1.3174,1.1729,1.6104,0.1329,9,0.9442,0.6695,1.1365,0.1567,9,0.8246,0.6729,0.9231,0.0885,9,1.1678,0.7253,1.5215,0.278,9,0.8798,0.832,0.9026,0.0234,9,0.7738,0.7129,0.8394,0.0426,9,5.6532,3.1901,8.3659,1.6598,9,7.5521,5.8268,10.5468,1.6135,9,8.4201,6.8359,11.6211,1.6291,9,8.8614,7.4544,11.9791,1.4558,9,9.0892,8.1054,11.4257,1.1209,9,9.1833,8.2031,10.3515,0.747,9,9.006,8.2031,10.5143,0.7419,9,8.4888,6.1198,10.3515,1.1844,9,7.1542,5.0781,9.2773,1.2098,9,6.3648,4.0684,8.983,1.7362,9,8.625,5.533,10.35,1.5339,9,9.464,7.1604,10.7731,1.2382,9,9.388,8.2995,10.4802,0.8142,9,9.4387,8.6575,10.708,0.7418,9,9.8726,8.8528,11.3589,0.9222,9,9.5363,8.3646,11.2613,0.928,9,8.719,7.4858,10.6103,0.9031,9,6.7228,5.3377,9.0155,1.177,9,0.3269,0.3016,0.3658,0.0196,9,0.4288,0.4207,0.4457,0.0082,9,0.5939,0.5809,0.6087,0.0106,9,0.0745,0.0086,0.0167,0.0043,0.0291,0.004,0.2609,0.249,0.2695,0.0061,9,0.0418,0.0118,0.5185,0.5135,0.524,0.0035,9,0.011,0.0022,1.69
SHIFTP00000000879561953097229,230321,1,0.21,0.1561,0.2751,0.059,4,87.7397,65.2131,114.9378,24.6319,4,38.8338,32.2158,44.9215,6.9547,4,9.4238,7.8776,10.97,1.73,4,9.6679,8.0403,11.1979,1.7504,4,1.2659,1.0011,1.5813,0.2406,4,10.6022,9.5688,11.9448,1.0287,4,10.9277,9.8618,12.0099,0.8771,4,1.305,1.0513,1.6978,0.2759,4,13.151,11.4938,14.704,1.3226,4,1.1494,0.9766,1.3187,0.1527,4,1.147,0.9197,1.3549,0.1842,4,1.4194,1.1849,1.6812,0.2079,4,0.9576,0.9407,0.976,0.0188,4,0.7608,0.6204,0.8223,0.0942,4,1.2766,1.1457,1.5658,0.1952,4,0.8932,0.8753,0.9035,0.0131,4,0.7849,0.7302,0.8386,0.0448,4,5.6559,3.3203,7.2591,1.8676,4,7.2265,4.9479,8.789,1.8565,4,8.3333,6.4453,9.8632,1.712,4,9.0739,7.4218,10.6445,1.7609,4,9.4238,7.8776,10.97,1.73,4,9.611,8.0078,11.1328,1.7403,4,9.5296,7.9752,11.0026,1.7021,4,9.025,7.4218,10.6119,1.6728,4,7.7067,5.8919,9.8958,2.0214,4,7.5916,6.249,8.5924,1.0601,4,9.3654,7.9089,10.4476,1.2715,4,10.4151,9.6339,11.4891,0.9331,4,10.5778,9.7967,11.9122,0.9789,4,10.6022,9.5688,11.9448,1.0287,4,10.4964,9.4387,11.9122,1.0582,4,10.3174,9.0806,11.9773,1.2456,4,9.3085,7.9415,11.424,1.6444,4,7.3068,5.9236,9.6014,1.6309,4,0.3134,0.2841,0.3572,0.0351,4,0.4318,0.4243,0.4386,0.0071,4,0.5865,0.5755,0.5973,0.0104,4,0.069,0.0099,0.0156,0.0034,0.0255,0.0042,0.2663,0.2646,0.2707,0.003,4,0.0445,0.0078,0.5154,0.5112,0.5185,0.0032,4,0.0097,0.0022,0.84
